-5.96046e-08 -0.257608 2.54272 0.005
0.605439 -2.53158 -2.25512 0.000128205
0.0435112 -2.0822 -2.55738 0.000384615
0.039394 -2.07818 -2.55719 0.0005
0.624717 -2.18376 -2.51996 9.61538e-05
0.551898 -2.1111 -2.4953 9.80392e-05
0.576425 -2.11339 -2.48696 4.6729e-05
0.594917 -2.10084 -2.46879 3.125e-05
0.595253 -2.07754 -2.46625 0.000294118
0.129687 -2.54065 -1.94965 9.80392e-05
0.196915 -2.53875 -1.98173 0.000104167
0.245578 -2.54163 -1.99095 0.00125
0.466486 -2.53498 -2.18835 0.000151515
0.465182 -2.50516 -2.11055 0.000294118
0.520636 -2.53459 -2.21696 5.68182e-05
0.598606 -2.51438 -2.22591 0.000102041
0.580684 -2.46582 -2.16165 0.000416667
0.484932 -2.52095 -2.10931 0.000208333
0.49231 -2.4785 -2.0875 0.000178571
0.574318 -2.46623 -2.15066 0.000125
0.626321 -2.24313 -2.14161 9.61538e-05
0.399561 -2.4952 -2.02256 0.00166667
0.440362 -2.50442 -2.04703 5.10204e-05
0.390677 -2.4939 -1.93504 0.000263158
0.415655 -2.49501 -1.9737 0.000121951
0.3882 -2.47324 -1.93238 0.000263158
0.405725 -2.47636 -1.9576 0.0003125
0.480136 -2.51609 -2.07856 0.005
0.488945 -2.47855 -2.0745 0.000227273
0.448095 -2.38373 -2.00195 0.0005
0.443265 -2.38327 -1.99012 0.000119048
0.181098 -2.09417 -1.93658 9.61538e-05
0.631375 -2.21529 -2.14468 9.80392e-05
0.609212 -2.00723 -2.08022 0.00166667
0.601099 -2.0087 -2.06987 0.000102041
0.709476 -2.44553 -2.40428 0.000416667
0.875601 -2.54704 -2.40774 0.000555556
0.881438 -2.556 -2.42093 0.001
0.715801 -2.53586 -2.32321 0.001
0.721978 -2.53547 -2.32649 0.00166667
0.71432 -2.42047 -2.39339 0.000119048
0.720884 -2.41836 -2.39442 0.00125
0.673506 -2.52591 -2.29864 5.81395e-05
0.786744 -2.51315 -2.29537 5.15464e-05
0.791008 -2.43915 -2.28071 4.5045e-05
0.849899 -2.51336 -2.35865 9.25926e-05
